batch size(TXs),total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),5% longest delay(s),5% shortest delay(s),5% least throughout(TXs/s),5% largest throughout(TXs/s)
1000,350000.0,176.096402,0.352192804,1987.5477069656424,0.4686821699142456,0.2554592688878377,1216.290784110414,2276.239071678788
2500,875000.0,183.181872,0.366363744,4776.67353459517,0.5517047246297201,0.250509778658549,2641.6799994841626,5795.150729898512
5000,1750000.0,190.058168,0.380116336,9207.707400399651,1.2132648626963298,0.26520530382792157,2359.9592252530347,10972.490614005663
7500,2625000.0,202.734553,0.405469106,12947.965510348895,1.24882173538208,0.27584699789683026,3437.514035580743,15816.220480829259
10000,3500000.0,232.963435,0.46592687,15023.816935048197,1.4892022212346394,0.3060766855875651,3908.5124318882317,19012.891617798214
