# RBC instances,batch size,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
1,25000,375000.0,22.989371999999996,0.22989371999999997,83501.39655182781,0.3002130587895711,0.16557768980662027,51049.23072961775,93952.22404128866
1,50000,750000.0,41.802347000000005,0.41802347000000006,91092.44267902928,0.5194445848464966,0.3016449213027954,59660.372313441265,102855.18721894528
1,100000,1500000.0,79.458725,0.79458725,95138.00666106542,0.9162162144978842,0.5886609554290771,67567.45976731615,105687.96334103832
1,250000,3750000.0,200.737244,2.00737244,94244.3796161243,2.274472196896871,1.3884689807891846,68231.58432279964,110525.36864791742
1,500000,7500000.0,412.06588500000004,4.120658850000001,91312.6398014246,4.493945082028707,3.1878286600112915,68846.84800265776,97556.16636096967
2,25000,375000.0,22.806654,0.22806654,84535.84446225714,0.30187273025512695,0.163814107577006,50446.10473514455,94687.13723434113
2,50000,750000.0,40.862097,0.40862097,93266.97609949163,0.5138286352157593,0.29269595940907794,60119.65111955035,105551.09708379158
2,100000,1500000.0,79.48240200000001,0.7948240200000001,95021.47813128043,0.898725708325704,0.5849059820175171,68864.83546741666,105934.23986730863
2,250000,3750000.0,199.273601,1.9927360100000002,94687.77933740677,2.2423561811447144,1.482062538464864,69296.32719226107,104522.98871839854
2,500000,7500000.0,404.6325959999999,4.046325959999999,93008.73528337723,4.4746179183324175,3.054248293240865,69289.31815851369,101552.0048932922
3,25000,375000.0,23.591237999999997,0.23591237999999998,80977.6158645531,0.28167990843455,0.17374022801717123,54616.145694309576,89432.06022556855
3,50000,750000.0,41.411185,0.41411185000000006,91312.40544819347,0.4840985933939616,0.3175313075383504,62974.404074220954,98126.29231555335
3,100000,1500000.0,77.312255,0.77312255,98120.6457759723,0.9174828926722208,0.5609806776046753,67124.66584499819,110390.61153111972
3,250000,3750000.0,197.670327,1.9767032699999998,95534.39658638711,2.226414680480957,1.429620623588562,69266.15181432714,108311.82061173761
3,500000,7500000.0,397.36360099999996,3.9736360099999994,94942.81409612852,4.400769670804341,2.7877233823140464,70300.21082474962,111101.77312631911
4,25000,375000.0,23.431324,0.23431324,81358.8223204623,0.2965175708134969,0.16822274525960287,51530.40094588627,92626.696257813
4,50000,750000.0,42.47468099999999,0.4247468099999999,89752.1589028124,0.5316479206085205,0.3123469352722168,57937.22436818553,99371.5951396035
4,100000,1500000.0,76.82764300000001,0.7682764300000001,98421.58032656464,0.8786231279373169,0.5619468291600546,69788.00652253417,110184.93320695357
4,250000,3750000.0,194.43079400000002,1.9443079400000003,97029.46418616918,2.169197122255961,1.4380717277526855,71547.39627081413,107653.08525923944
4,500000,7500000.0,404.335461,4.04335461,93623.07235729144,4.613531629244487,2.9235647519429526,66969.94049990199,105579.17200978131
