batch size(TXs),total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),5% longest delay(s),5% shortest delay(s),5% least throughout(TXs/s),5% largest throughout(TXs/s)
1000,350000.0,224.527551,0.449055102,1558.8287425804597,1.1971689462661743,0.310258428255717,479.3464478842164,1875.2872301403434
2500,875000.0,234.413536,0.468827072,3732.719598581543,1.1888277530670166,0.30674298604329425,1317.8662299001267,4731.795266432738
5000,1750000.0,237.990049,0.475980098,7353.2486225926195,1.1063722372055054,0.31810665130615234,2604.7124558703226,9157.091152786415
7500,2625000.0,249.169446,0.498338892,10534.99954404522,1.1072182257970173,0.32254830996195477,3911.826073520982,13460.925351805467
10000,3500000.0,247.979244,0.495958488,14114.08448361912,0.8840146064758301,0.35016894340515137,6502.288680659208,16612.203089555704
