# RBC instances,batch size,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
2,25000,375000.0,4.830997,0.04830997,80256.3695207769,0.30187273025512695,0.17178710301717123,50446.10473514455,90425.99083670613
2,25000,375000.0,4.429735,0.04429735,86247.51856389872,0.2578125794728597,0.163814107577006,60146.91453567394,94687.13723434113
2,25000,375000.0,4.518978,0.04518978,86278.59161226268,0.26758960882822674,0.16962528228759766,62539.119620161924,91783.82449745509
2,25000,375000.0,4.701321,0.04701321,82290.43083754121,0.28784652551015216,0.17291863759358725,53825.162047240854,90025.20990259734
2,25000,375000.0,4.325623,0.04325623,87606.31177680621,0.2336568832397461,0.171740452448527,67718.06481978686,90799.06798839074
2,50000,750000.0,8.156115,0.08156115,93370.95098643578,0.4800003369649251,0.2996308008829753,64253.01017647249,103440.62119113431
2,50000,750000.0,8.453398,0.08453398,90870.7944046839,0.5138286352157593,0.30863996346791583,60119.65111955035,100591.36313224597
2,50000,750000.0,7.969666,0.07969666,95165.22006896591,0.45255831877390545,0.29269595940907794,67592.13085066254,105551.09708379158
2,50000,750000.0,7.971564,0.07971564,95311.63106394996,0.44025663534800213,0.31329627831776935,71706.23014572759,99547.32785347867
2,50000,750000.0,8.311354,0.08311354,91616.28397342259,0.48081966241200763,0.3036300341288249,64563.37599036903,102517.58165436021
2,100000,1500000.0,15.639865,0.15639865,96432.00715262115,0.8522645632425944,0.5945000251134237,72821.76572124028,104423.54409149867
2,100000,1500000.0,16.133914,0.16133914000000002,93271.10486144185,0.8655826250712076,0.6273634831110636,71602.1857434576,99046.2579444899
2,100000,1500000.0,15.996198,0.15996198,94578.50210651055,0.8910142183303833,0.5933754841486613,69860.47571604517,104613.70565756266
2,100000,1500000.0,15.82563,0.15825630000000002,95379.58595571498,0.8715769052505493,0.6042220989863077,71003.25760178316,102978.10117065953
2,100000,1500000.0,15.886795,0.15886794999999998,95446.19058011363,0.898725708325704,0.5849059820175171,68864.83546741666,105934.23986730863
2,250000,3750000.0,38.681036,0.38681035999999996,97253.13582116392,2.0695589780807495,1.51158340771993,74769.98720267153,102793.40019900813
2,250000,3750000.0,40.040412,0.40040412000000003,94393.48315943971,2.232636570930481,1.4948848485946655,69321.01674622012,103844.09020316631
2,250000,3750000.0,40.752327,0.40752327,92796.99883628033,2.2423561811447144,1.5073247353235881,69296.32719226107,102635.7174524154
2,250000,3750000.0,39.669683,0.39669683,94764.40521834015,2.087738275527954,1.5504320859909058,74554.88567042392,100090.35615800186
2,250000,3750000.0,40.130143,0.40130142999999996,94230.87365180968,2.223787307739258,1.482062538464864,69676.12434526584,104522.98871839854
2,500000,7500000.0,82.197124,0.82197124,91728.76880310426,4.4746179183324175,3.1599075396855674,69289.31815851369,98445.0144227877
2,500000,7500000.0,81.379881,0.81379881,92477.30676857958,4.345466295878093,3.1502413749694824,71351.62695549228,98473.50534440698
2,500000,7500000.0,80.048164,0.80048164,93916.02351995805,4.200460235277812,3.0965957244237265,74231.49097228357,99994.59045225238
2,500000,7500000.0,80.355403,0.8035540299999999,93525.35777603005,4.236717065175374,3.147083838780721,73311.38371244482,98685.63565915835
2,500000,7500000.0,80.652024,0.80652024,93396.2195492142,4.312475879987081,3.054248293240865,72113.32570232029,101552.0048932922
