         1053410 function calls (1052112 primitive calls) in 11.581 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8964/8948    0.064    0.000  158.067    0.018 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8958/8948    0.035    0.000   78.588    0.009 run_socket_node.py:121(<lambda>)
8957/8948    0.088    0.000   36.523    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8948    1.835    0.000   15.355    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.427    9.427 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8957/8948    0.021    0.000    9.261    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8953/8948    0.027    0.000    6.473    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8949/8948    0.082    0.000    6.438    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.246    0.225 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.245    0.225 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.233    0.223 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
     1540    2.155    0.001    2.155    0.001 {built-in method charm.core.math.pairing.pair}
      120    0.003    0.000    2.141    0.018 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
      600    0.003    0.000    1.292    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     8947    0.662    0.000    1.286    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
     1233    0.001    0.000    1.256    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.255    0.001    1.255    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.143    1.143 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.143    1.143 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.143    1.143 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.142    0.050 {built-in method _pickle.load}
       68    0.000    0.000    1.138    0.017 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
      162    1.011    0.006    1.017    0.006 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.170    0.001    0.952    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.805    0.007    0.820    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.025    0.000    0.781    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
     5548    0.029    0.000    0.649    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
        2    0.000    0.000    0.589    0.294 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
        2    0.001    0.000    0.550    0.275 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
     5548    0.016    0.000    0.535    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
       48    0.001    0.000    0.519    0.011 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
     7756    0.027    0.000    0.478    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
      130    0.001    0.000    0.462    0.004 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
      181    0.008    0.000    0.460    0.003 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
      181    0.452    0.002    0.452    0.002 {built-in method charm.core.math.pairing.H}
     7756    0.035    0.000    0.445    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
     5548    0.418    0.000    0.418    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_verify}
    15512    0.045    0.000    0.399    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
    15512    0.343    0.000    0.343    0.000 {built-in method posix.read}
     1846    0.003    0.000    0.338    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:206(_send)
     1846    0.004    0.000    0.336    0.000 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:50(<lambda>)
     1846    0.003    0.000    0.332    0.000 /usr/lib/python3.6/multiprocessing/queues.py:128(put_nowait)
     1846    0.017    0.000    0.329    0.000 /usr/lib/python3.6/multiprocessing/queues.py:80(put)
     1346    0.001    0.000    0.268    0.000 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:100(vaba_send)
     1356    0.001    0.000    0.267    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:352(vacs_send)
     1846    0.008    0.000    0.223    0.000 /usr/lib/python3.6/threading.py:334(notify)
      2/1    0.000    0.000    0.216    0.216 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:74(run)
      2/1    0.001    0.000    0.216    0.216 /home/hugo/BDT/dumbobft/core/dumbo.py:135(run_bft)
     1437    0.213    0.000    0.213    0.000 {method 'release' of '_thread.lock' objects}
      120    0.002    0.000    0.155    0.001 /home/hugo/BDT/dumbobft/core/validators.py:19(cbc_validate)
     8948    0.030    0.000    0.153    0.000 /usr/lib/python3.6/selectors.py:350(register)
    28741    0.020    0.000    0.123    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:265(_start_new_or_dummy)
     2517    0.033    0.000    0.120    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:114(merkleVerify)
       62    0.001    0.000    0.114    0.002 /home/hugo/BDT/dumbobft/core/baisedbinaryagreement.py:74(broadcast)
      992    0.001    0.000    0.113    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:373(aba_send)
      840    0.002    0.000    0.106    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:41(deserialize1)
     8948    0.020    0.000    0.102    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:244(start_new)
    17855    0.052    0.000    0.098    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:72(hash)
     8948    0.033    0.000    0.086    0.000 /usr/lib/python3.6/selectors.py:233(register)
      160    0.065    0.000    0.085    0.001 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:138(vaba_predicate)
     1940    0.029    0.000    0.085    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:240(_on_expiration)
    10802    0.082    0.000    0.082    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     5564    0.078    0.000    0.078    0.000 {built-in method _libsecp256k1.secp256k1_ec_pubkey_parse}
      240    0.001    0.000    0.075    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:38(deserialize_UVW)
      480    0.001    0.000    0.073    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:299(prbc_send)
       10    0.034    0.003    0.070    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:120(encrypt)
      170    0.000    0.000    0.068    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:160(commit_send)
     8948    0.028    0.000    0.065    0.000 /usr/lib/python3.6/selectors.py:346(__init__)
      160    0.001    0.000    0.063    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:112(decode_output)
       50    0.000    0.000    0.058    0.001 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:103(<listcomp>)
      800    0.000    0.000    0.058    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:19(tpke_deserialize)
