         1050105 function calls (1048807 primitive calls) in 11.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9010/8992    0.048    0.000  162.675    0.018 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
9001/8992    0.031    0.000   75.014    0.008 run_socket_node.py:121(<lambda>)
9001/8992    0.083    0.000   39.130    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8992    1.924    0.000   15.483    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.492    9.492 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
9001/8992    0.027    0.000    9.078    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8996/8992    0.030    0.000    6.587    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8993/8992    0.069    0.000    6.548    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.261    0.226 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.261    0.226 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.250    0.225 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
     1540    2.204    0.001    2.204    0.001 {built-in method charm.core.math.pairing.pair}
      120    0.003    0.000    2.177    0.018 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
      600    0.002    0.000    1.302    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     8991    0.710    0.000    1.291    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
     1233    0.001    0.000    1.231    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.230    0.001    1.230    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.115    1.115 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.114    1.114 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.114    1.114 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
