         1046162 function calls (1044864 primitive calls) in 11.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8930/8914    0.037    0.000  148.570    0.017 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8923/8914    0.026    0.000   76.459    0.009 run_socket_node.py:121(<lambda>)
8923/8914    0.089    0.000   33.624    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8914    1.858    0.000   15.325    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.370    9.370 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8923/8914    0.022    0.000    8.793    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8920/8914    0.030    0.000    6.483    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8915/8914    0.060    0.000    6.445    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.285    0.228 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.284    0.228 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
     1540    2.282    0.001    2.282    0.001 {built-in method charm.core.math.pairing.pair}
    12/10    0.004    0.000    2.272    0.227 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.006    0.000    2.196    0.018 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
      600    0.005    0.000    1.343    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     8913    0.677    0.000    1.276    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
     1233    0.001    0.000    1.220    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.219    0.001    1.219    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.111    1.111 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.111    1.111 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.110    1.110 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.109    0.048 {built-in method _pickle.load}
       68    0.000    0.000    1.106    0.016 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
      162    1.014    0.006    1.020    0.006 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.211    0.002    0.920    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.804    0.007    0.820    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.002    0.000    0.709    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
       48    0.033    0.001    0.678    0.014 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
     5538    0.014    0.000    0.623    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
        2    0.000    0.000    0.566    0.283 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
