         1050545 function calls (1049247 primitive calls) in 11.504 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9019/9000    0.036    0.000  167.013    0.019 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
9010/9000    0.033    0.000   86.483    0.010 run_socket_node.py:121(<lambda>)
9009/9000    0.084    0.000   40.719    0.005 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     9000    1.926    0.000   15.212    0.002 /usr/lib/python3.6/selectors.py:365(select)
9009/9000    0.029    0.000    9.723    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
        1    0.000    0.000    9.380    9.380 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
9002/9000    0.023    0.000    6.374    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
9001/9000    0.069    0.000    6.333    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.001    0.000    2.161    0.216 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.161    0.216 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.141    0.214 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.003    0.000    2.072    0.017 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.071    0.001    2.071    0.001 {built-in method charm.core.math.pairing.pair}
     8999    0.688    0.000    1.319    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
      600    0.004    0.000    1.250    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.240    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.239    0.001    1.239    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.139    1.139 run_socket_node.py:21(instantiate_bft_node)
