         10361222 function calls (10348105 primitive calls) in 89.834 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
81165/81009    0.525    0.000 1597.348    0.020 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
81108/81009    0.316    0.000  779.944    0.010 run_socket_node.py:121(<lambda>)
81108/81009    0.767    0.000  354.570    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
    81009    9.663    0.000  138.143    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000   87.823   87.823 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
81108/81009    0.271    0.000   78.959    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
81062/81009    0.358    0.000   56.351    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
81010/81009    0.750    0.000   55.258    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
  199/100    0.019    0.000   24.030    0.240 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
  118/100    0.035    0.000   24.025    0.240 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
  119/100    0.044    0.000   23.902    0.239 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
     1200    0.040    0.000   23.123    0.019 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
    15230   21.810    0.001   21.810    0.001 {built-in method charm.core.math.pairing.pair}
     6000    0.045    0.000   13.596    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
    81008    6.812    0.000   12.483    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
     1200    2.124    0.002   10.246    0.009 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
     1200    9.006    0.008    9.183    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
     1200    0.199    0.000    8.123    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
    55093    0.173    0.000    6.208    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
    55093    0.236    0.000    5.324    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
     1721    0.061    0.000    5.273    0.003 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
     1300    0.009    0.000    5.271    0.004 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
     1721    5.212    0.003    5.212    0.003 {built-in method charm.core.math.pairing.H}
    77018    0.186    0.000    5.155    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
      397    0.082    0.000    5.120    0.013 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
    77018    0.246    0.000    4.896    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
   154036    0.428    0.000    4.569    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
