         1050686 function calls (1049388 primitive calls) in 11.580 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8913/8896    0.044    0.000  149.673    0.017 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8906/8896    0.032    0.000   74.857    0.008 run_socket_node.py:121(<lambda>)
8905/8896    0.081    0.000   34.292    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8896    1.710    0.000   15.274    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.431    9.431 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8905/8896    0.021    0.000    9.403    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8900/8896    0.032    0.000    6.404    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8897/8896    0.070    0.000    6.366    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
     1540    2.345    0.002    2.345    0.002 {built-in method charm.core.math.pairing.pair}
    19/10    0.002    0.000    2.302    0.230 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.301    0.230 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.006    0.001    2.291    0.229 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.004    0.000    2.214    0.018 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
      600    0.003    0.000    1.371    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.248    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.247    0.001    1.247    0.001 {built-in method charm.core.math.pairing.deserialize}
     8895    0.649    0.000    1.202    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
        1    0.000    0.000    1.135    1.135 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.135    1.135 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.135    1.135 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
