         1044228 function calls (1042930 primitive calls) in 11.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8893/8876    0.039    0.000  141.025    0.016 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8886/8876    0.036    0.000   65.683    0.007 run_socket_node.py:121(<lambda>)
8885/8876    0.082    0.000   32.718    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8876    1.648    0.000   14.914    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.259    9.259 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8885/8876    0.023    0.000    8.896    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8880/8876    0.024    0.000    6.149    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8877/8876    0.075    0.000    6.113    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.414    0.241 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.413    0.241 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.403    0.240 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.004    0.000    2.329    0.019 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.218    0.001    2.218    0.001 {built-in method charm.core.math.pairing.pair}
      600    0.003    0.000    1.389    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.287    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.286    0.001    1.286    0.001 {built-in method charm.core.math.pairing.deserialize}
     8875    0.674    0.000    1.254    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
