         1044948 function calls (1043650 primitive calls) in 11.524 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8915/8899    0.040    0.000  142.522    0.016 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8908/8899    0.041    0.000   73.205    0.008 run_socket_node.py:121(<lambda>)
8908/8899    0.084    0.000   30.747    0.003 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8899    1.705    0.000   15.317    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.001    0.001    9.387    9.387 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8908/8899    0.027    0.000    8.084    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8905/8899    0.033    0.000    6.494    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8900/8899    0.069    0.000    6.453    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.367    0.237 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.366    0.237 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.355    0.236 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.005    0.000    2.277    0.019 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.247    0.001    2.247    0.001 {built-in method charm.core.math.pairing.pair}
      600    0.003    0.000    1.381    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.290    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     8898    0.692    0.000    1.289    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
     1233    1.289    0.001    1.289    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.152    1.152 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.152    1.152 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.151    1.151 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.001    0.000    1.150    0.050 {built-in method _pickle.load}
       68    0.001    0.000    1.146    0.017 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
      120    0.253    0.002    1.076    0.009 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      162    1.015    0.006    1.022    0.006 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.841    0.007    0.859    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.024    0.000    0.823    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
        2    0.000    0.000    0.613    0.307 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
     5538    0.022    0.000    0.613    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
       48    0.021    0.000    0.587    0.012 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
      181    0.021    0.000    0.550    0.003 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
      130    0.001    0.000    0.550    0.004 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
        2    0.000    0.000    0.534    0.267 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
      181    0.529    0.003    0.529    0.003 {built-in method charm.core.math.pairing.H}
     5538    0.017    0.000    0.518    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
     5538    0.416    0.000    0.416    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_verify}
     7756    0.018    0.000    0.362    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
     7756    0.025    0.000    0.337    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
    15512    0.039    0.000    0.301    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
      2/1    0.000    0.000    0.257    0.257 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:74(run)
      2/1    0.001    0.000    0.257    0.257 /home/hugo/BDT/dumbobft/core/dumbo.py:135(run_bft)
    15512    0.251    0.000    0.251    0.000 {built-in method posix.read}
     1846    0.003    0.000    0.217    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:206(_send)
     1846    0.005    0.000    0.214    0.000 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:50(<lambda>)
     1846    0.003    0.000    0.209    0.000 /usr/lib/python3.6/multiprocessing/queues.py:128(put_nowait)
     1846    0.016    0.000    0.206    0.000 /usr/lib/python3.6/multiprocessing/queues.py:80(put)
