         1102737 function calls (1101439 primitive calls) in 11.565 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8868/8850    0.042    0.000  147.445    0.017 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8860/8850    0.027    0.000   76.875    0.009 run_socket_node.py:121(<lambda>)
8859/8850    0.087    0.000   35.947    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8850    1.669    0.000   15.026    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.410    9.410 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8859/8850    0.027    0.000    9.359    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8853/8850    0.027    0.000    6.537    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8851/8850    0.077    0.000    6.500    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.001    0.000    2.474    0.247 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.473    0.247 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.462    0.246 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.003    0.000    2.387    0.020 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.322    0.002    2.322    0.002 {built-in method charm.core.math.pairing.pair}
      600    0.005    0.000    1.426    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.277    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.276    0.001    1.276    0.001 {built-in method charm.core.math.pairing.deserialize}
     8849    0.664    0.000    1.251    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
        1    0.000    0.000    1.166    1.166 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.166    1.166 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.166    1.166 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.165    0.051 {built-in method _pickle.load}
       68    0.000    0.000    1.162    0.017 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
    30202    1.100    0.000    1.113    0.000 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.199    0.002    0.957    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.881    0.007    0.925    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.001    0.000    0.759    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
        2    0.000    0.000    0.604    0.302 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
       48    0.030    0.001    0.591    0.012 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
     5537    0.012    0.000    0.573    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
        2    0.000    0.000    0.558    0.279 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
     7756    0.022    0.000    0.521    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
     7756    0.030    0.000    0.491    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
     5537    0.016    0.000    0.489    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
      181    0.003    0.000    0.484    0.003 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
      130    0.001    0.000    0.483    0.004 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
      181    0.481    0.003    0.481    0.003 {built-in method charm.core.math.pairing.H}
    15512    0.036    0.000    0.452    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
    15512    0.406    0.000    0.406    0.000 {built-in method posix.read}
     5537    0.393    0.000    0.393    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_verify}
      2/1    0.000    0.000    0.254    0.254 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:74(run)
      2/1    0.001    0.000    0.254    0.254 /home/hugo/BDT/dumbobft/core/dumbo.py:135(run_bft)
     1846    0.002    0.000    0.181    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:206(_send)
     1846    0.003    0.000    0.179    0.000 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:50(<lambda>)
     1846    0.002    0.000    0.176    0.000 /usr/lib/python3.6/multiprocessing/queues.py:128(put_nowait)
     1846    0.016    0.000    0.174    0.000 /usr/lib/python3.6/multiprocessing/queues.py:80(put)
     8850    0.029    0.000    0.145    0.000 /usr/lib/python3.6/selectors.py:350(register)
      120    0.002    0.000    0.133    0.001 /home/hugo/BDT/dumbobft/core/validators.py:19(cbc_validate)
    28642    0.018    0.000    0.118    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:265(_start_new_or_dummy)
      160    0.069    0.000    0.106    0.001 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:138(vaba_predicate)
      840    0.002    0.000    0.101    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:41(deserialize1)
     8850    0.020    0.000    0.100    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:244(start_new)
     1346    0.002    0.000    0.098    0.000 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:100(vaba_send)
     1356    0.001    0.000    0.098    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:352(vacs_send)
     2517    0.021    0.000    0.093    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:114(merkleVerify)
     1846    0.012    0.000    0.090    0.000 /usr/lib/python3.6/threading.py:334(notify)
     1869    0.032    0.000    0.090    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:240(_on_expiration)
      480    0.001    0.000    0.084    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:299(prbc_send)
    17855    0.040    0.000    0.083    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:72(hash)
     8850    0.032    0.000    0.079    0.000 /usr/lib/python3.6/selectors.py:233(register)
     1454    0.075    0.000    0.075    0.000 {method 'release' of '_thread.lock' objects}
       50    0.000    0.000    0.070    0.001 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:103(<listcomp>)
       62    0.001    0.000    0.070    0.001 /home/hugo/BDT/dumbobft/core/baisedbinaryagreement.py:74(broadcast)
      800    0.001    0.000    0.070    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:19(tpke_deserialize)
      992    0.001    0.000    0.069    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:373(aba_send)
       10    0.035    0.003    0.068    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:120(encrypt)
     8850    0.029    0.000    0.064    0.000 /usr/lib/python3.6/selectors.py:346(__init__)
      240    0.001    0.000    0.061    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:38(deserialize_UVW)
    10704    0.060    0.000    0.060    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        2    0.000    0.000    0.059    0.029 /home/hugo/BDT/honeybadgerbft/core/commoncoin.py:96(getCoin)
      160    0.002    0.000    0.058    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:112(decode_output)
     5553    0.054    0.000    0.054    0.000 {built-in method _libsecp256k1.secp256k1_ec_pubkey_parse}
     8850    0.052    0.000    0.054    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:261(_get_started_watchers)
     7756    0.046    0.000    0.048    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:210(add_event)
     7996    0.047    0.000    0.047    0.000 {built-in method _pickle.loads}
      320    0.002    0.000    0.047    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:14(ecdsa_sign)
      600    0.007    0.000    0.044    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:106(lagrange)
      320    0.002    0.000    0.043    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/keys.py:35(sign)
