         1063371 function calls (1062073 primitive calls) in 11.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8873/8856    0.036    0.000  149.745    0.017 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8865/8856    0.028    0.000   74.678    0.008 run_socket_node.py:121(<lambda>)
8865/8856    0.095    0.000   35.590    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8856    1.670    0.000   15.014    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.368    9.368 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8865/8856    0.029    0.000    8.865    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8861/8856    0.026    0.000    6.450    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8857/8856    0.074    0.000    6.420    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.374    0.237 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.006    0.001    2.373    0.237 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.360    0.236 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.003    0.000    2.288    0.019 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.176    0.001    2.176    0.001 {built-in method charm.core.math.pairing.pair}
      600    0.003    0.000    1.348    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     8855    0.674    0.000    1.253    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
     1233    0.001    0.000    1.247    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.246    0.001    1.246    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.141    1.141 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.141    1.141 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.141    1.141 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.140    0.050 {built-in method _pickle.load}
       68    0.000    0.000    1.136    0.017 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
    10293    1.041    0.000    1.050    0.000 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.202    0.002    0.936    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.882    0.007    0.909    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.011    0.000    0.734    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
     7756    0.018    0.000    0.597    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
        2    0.000    0.000    0.585    0.292 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
     5540    0.013    0.000    0.581    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
     7756    0.026    0.000    0.570    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
       48    0.021    0.000    0.567    0.012 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
        2    0.000    0.000    0.552    0.276 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
    15512    0.035    0.000    0.534    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
