         1052261 function calls (1050963 primitive calls) in 11.458 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8946/8930    0.042    0.000  157.809    0.018 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8940/8930    0.034    0.000   75.586    0.008 run_socket_node.py:121(<lambda>)
8939/8930    0.072    0.000   35.776    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8930    1.827    0.000   15.098    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.270    9.270 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8939/8930    0.032    0.000    9.075    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8935/8930    0.033    0.000    6.370    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8931/8930    0.069    0.000    6.332    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.003    0.000    2.204    0.220 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.203    0.220 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.193    0.219 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
     1540    2.137    0.001    2.137    0.001 {built-in method charm.core.math.pairing.pair}
      120    0.004    0.000    2.123    0.018 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     8929    0.714    0.000    1.311    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
      600    0.003    0.000    1.297    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.272    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.271    0.001    1.271    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.173    1.173 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.173    1.173 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.173    1.173 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.172    0.051 {built-in method _pickle.load}
       68    0.000    0.000    1.168    0.017 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
      162    1.017    0.006    1.032    0.006 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.195    0.002    0.952    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.778    0.006    0.794    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.011    0.000    0.757    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
        2    0.000    0.000    0.600    0.300 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
     5538    0.011    0.000    0.583    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
       48    0.011    0.000    0.568    0.012 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
        2    0.000    0.000    0.568    0.284 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
      181    0.021    0.000    0.514    0.003 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
      130    0.001    0.000    0.513    0.004 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
     7756    0.022    0.000    0.500    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
     5538    0.015    0.000    0.497    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
      181    0.493    0.003    0.493    0.003 {built-in method charm.core.math.pairing.H}
     7756    0.026    0.000    0.465    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
    15512    0.035    0.000    0.431    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
     5538    0.405    0.000    0.405    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_verify}
    15512    0.385    0.000    0.385    0.000 {built-in method posix.read}
     1846    0.003    0.000    0.213    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:206(_send)
     1846    0.002    0.000    0.210    0.000 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:50(<lambda>)
