         1055944 function calls (1054646 primitive calls) in 11.486 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9118/9101    0.040    0.000  167.051    0.018 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
9110/9101    0.036    0.000   88.158    0.010 run_socket_node.py:121(<lambda>)
9110/9101    0.090    0.000   40.890    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     9101    2.059    0.000   15.397    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.377    9.377 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
9110/9101    0.031    0.000    9.009    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
9106/9101    0.029    0.000    6.555    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
9102/9101    0.075    0.000    6.515    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.001    0.000    2.116    0.212 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.116    0.212 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.104    0.210 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.003    0.000    2.036    0.017 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.025    0.001    2.025    0.001 {built-in method charm.core.math.pairing.pair}
     9100    0.746    0.000    1.322    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
      600    0.002    0.000    1.240    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.222    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.221    0.001    1.221    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.125    1.125 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.125    1.125 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.124    1.124 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.123    0.049 {built-in method _pickle.load}
       68    0.000    0.000    1.120    0.016 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
      162    1.012    0.006    1.019    0.006 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.180    0.002    0.876    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.754    0.006    0.768    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.023    0.000    0.696    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
     5541    0.014    0.000    0.594    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
