         1047728 function calls (1046430 primitive calls) in 11.589 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
8964/8946    0.038    0.000  148.516    0.017 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8956/8946    0.027    0.000   75.140    0.008 run_socket_node.py:121(<lambda>)
8955/8946    0.091    0.000   32.164    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8946    1.769    0.000   15.398    0.002 /usr/lib/python3.6/selectors.py:365(select)
        1    0.000    0.000    9.487    9.487 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8955/8946    0.032    0.000    9.325    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
8949/8946    0.026    0.000    6.489    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8947/8946    0.086    0.000    6.451    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.362    0.236 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.361    0.236 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.350    0.235 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.004    0.000    2.280    0.019 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.191    0.001    2.191    0.001 {built-in method charm.core.math.pairing.pair}
      600    0.025    0.000    1.378    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     1233    0.001    0.000    1.276    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.275    0.001    1.275    0.001 {built-in method charm.core.math.pairing.deserialize}
     8945    0.675    0.000    1.262    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
        1    0.000    0.000    1.120    1.120 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.120    1.120 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.120    1.120 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.119    0.049 {built-in method _pickle.load}
       68    0.000    0.000    1.116    0.016 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
      162    1.019    0.006    1.027    0.006 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.219    0.002    0.995    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.853    0.007    0.870    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.010    0.000    0.777    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
     5535    0.013    0.000    0.655    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
        2    0.000    0.000    0.585    0.292 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
     5535    0.023    0.000    0.569    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
       48    0.003    0.000    0.546    0.011 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
        2    0.000    0.000    0.531    0.266 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
      130    0.001    0.000    0.527    0.004 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
      181    0.007    0.000    0.522    0.003 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
      181    0.515    0.003    0.515    0.003 {built-in method charm.core.math.pairing.H}
     7756    0.021    0.000    0.451    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
     5535    0.444    0.000    0.444    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_verify}
     7756    0.028    0.000    0.423    0.000 /usr/lib/python3.6/multiprocessing/connection.py:406(_recv_bytes)
    15512    0.041    0.000    0.385    0.000 /usr/lib/python3.6/multiprocessing/connection.py:374(_recv)
    15512    0.335    0.000    0.335    0.000 {built-in method posix.read}
     1846    0.003    0.000    0.280    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:206(_send)
     1846    0.002    0.000    0.277    0.000 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:50(<lambda>)
     1846    0.003    0.000    0.275    0.000 /usr/lib/python3.6/multiprocessing/queues.py:128(put_nowait)
     1846    0.013    0.000    0.272    0.000 /usr/lib/python3.6/multiprocessing/queues.py:80(put)
     1346    0.002    0.000    0.237    0.000 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:100(vaba_send)
     1356    0.001    0.000    0.236    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:352(vacs_send)
      2/1    0.000    0.000    0.230    0.230 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:74(run)
      2/1    0.001    0.000    0.230    0.230 /home/hugo/BDT/dumbobft/core/dumbo.py:135(run_bft)
     1846    0.009    0.000    0.154    0.000 /usr/lib/python3.6/threading.py:334(notify)
      120    0.002    0.000    0.153    0.001 /home/hugo/BDT/dumbobft/core/validators.py:19(cbc_validate)
     1381    0.142    0.000    0.142    0.000 {method 'release' of '_thread.lock' objects}
     8946    0.026    0.000    0.141    0.000 /usr/lib/python3.6/selectors.py:350(register)
      840    0.002    0.000    0.129    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:41(deserialize1)
       62    0.003    0.000    0.124    0.002 /home/hugo/BDT/dumbobft/core/baisedbinaryagreement.py:74(broadcast)
    28740    0.016    0.000    0.123    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:265(_start_new_or_dummy)
      992    0.001    0.000    0.121    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:373(aba_send)
    10800    0.117    0.000    0.117    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      240    0.001    0.000    0.112    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:38(deserialize_UVW)
     8946    0.025    0.000    0.108    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:244(start_new)
      160    0.062    0.000    0.090    0.001 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:138(vaba_predicate)
     2525    0.021    0.000    0.089    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:114(merkleVerify)
     1991    0.032    0.000    0.087    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:240(_on_expiration)
    17895    0.040    0.000    0.080    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:72(hash)
     5551    0.079    0.000    0.079    0.000 {built-in method _libsecp256k1.secp256k1_ec_pubkey_parse}
     8946    0.031    0.000    0.074    0.000 /usr/lib/python3.6/selectors.py:233(register)
      170    0.000    0.000    0.070    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:160(commit_send)
     8946    0.037    0.000    0.069    0.000 /usr/lib/python3.6/selectors.py:346(__init__)
       10    0.031    0.003    0.068    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:120(encrypt)
       50    0.000    0.000    0.066    0.001 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:103(<listcomp>)
      800    0.000    0.000    0.065    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:19(tpke_deserialize)
      160    0.001    0.000    0.058    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:112(decode_output)
     8946    0.050    0.000    0.052    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:261(_get_started_watchers)
      274    0.000    0.000    0.050    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:47(deserialize2)
      320    0.003    0.000    0.049    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:14(ecdsa_sign)
        2    0.000    0.000    0.049    0.025 /home/hugo/BDT/honeybadgerbft/core/commoncoin.py:96(getCoin)
      480    0.001    0.000    0.045    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:299(prbc_send)
      320    0.005    0.000    0.044    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/keys.py:35(sign)
     7756    0.041    0.000    0.044    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:210(add_event)
     8946    0.042    0.000    0.042    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:200(__init__)
     7996    0.041    0.000    0.041    0.000 {built-in method _pickle.loads}
     8946    0.018    0.000    0.040    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:243(register)
     5535    0.021    0.000    0.040    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/keys.py:371(format)
     8946    0.026    0.000    0.037    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:220(start)
      170    0.000    0.000    0.037    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:137(cbc_send)
     5855    0.023    0.000    0.036    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:5(hash)
    30709    0.035    0.000    0.035    0.000 {built-in method _hashlib.openssl_sha256}
      320    0.032    0.000    0.032    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_sign}
     8946    0.005    0.000    0.031    0.000 /usr/lib/python3.6/selectors.py:214(_fileobj_lookup)
     8946    0.029    0.000    0.029    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:206(__init__)
     8945    0.009    0.000    0.028    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:350(__exit__)
       10    0.003    0.000    0.027    0.003 /home/hugo/BDT/dumbobft/core/dumbocommonsubset.py:7(dumbocommonsubset)
      170    0.004    0.000    0.027    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:84(merkleTree)
        6    0.026    0.004    0.026    0.004 {method 'initPP' of 'pairing.Element' objects}
     8946    0.015    0.000    0.025    0.000 /usr/lib/python3.6/selectors.py:20(_fileobj_to_fd)
      120    0.002    0.000    0.025    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:272(decrypt)
      160    0.000    0.000    0.025    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:80(broadcast)
      170    0.003    0.000    0.025    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:13(encode)
       10    0.002    0.000    0.024    0.002 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:45(validatedcommonsubset)
    30511    0.023    0.000    0.023    0.000 {method 'digest' of '_hashlib.HASH' objects}
     8946    0.021    0.000    0.023    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:66(get_fileno)
     8945    0.007    0.000    0.022    0.000 /usr/lib/python3.6/selectors.py:201(__exit__)
       10    0.004    0.000    0.021    0.002 /home/hugo/BDT/dumbobft/core/validatedagreement.py:63(validatedagreement)
   160/10    0.009    0.000    0.020    0.002 /home/hugo/BDT/dumbobft/core/validatedagreement.py:216(wait_for_cbc_to_continue)
        2    0.000    0.000    0.020    0.010 /home/hugo/BDT/crypto/threshsig/boldyreva.py:135(verify_signature)
      170    0.020    0.000    0.020    0.000 {method 'encode' of '_fec.Encoder' objects}
     8945    0.019    0.000    0.019    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:303(close)
      120    0.000    0.000    0.019    0.000 /usr/lib/python3/dist-packages/Crypto/Cipher/blockalgo.py:246(decrypt)
     1185    0.003    0.000    0.019    0.000 /usr/lib/python3.6/base64.py:534(encodestring)
      120    0.019    0.000    0.019    0.000 {method 'decrypt' of '_AES' objects}
      400    0.002    0.000    0.018    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:30(serialize)
      600    0.008    0.000    0.017    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:106(lagrange)
    23117    0.017    0.000    0.017    0.000 {method 'new' of '_cffi_backend.FFI' objects}
     8946    0.014    0.000    0.017    0.000 /usr/lib/python3.6/selectors.py:208(__init__)
    53524    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
     2010    0.016    0.000    0.016    0.000 <string>:35(_asdict)
     8946    0.015    0.000    0.015    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:235(__init__)
    11680    0.015    0.000    0.015    0.000 /usr/lib/python3.6/enum.py:337(__members__)
     8945    0.013    0.000    0.015    0.000 /usr/lib/python3.6/selectors.py:268(close)
   160/10    0.011    0.000    0.014    0.001 /home/hugo/BDT/dumbobft/core/validatedagreement.py:254(wait_for_commit_to_continue)
   320/10    0.035    0.000    0.013    0.001 /home/hugo/BDT/dumbobft/core/consistentbroadcast.py:14(consistentbroadcast)
      130    0.001    0.000    0.013    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:72(hashG)
     9510    0.008    0.000    0.013    0.000 /usr/lib/python3.6/types.py:135(__get__)
     5855    0.006    0.000    0.013    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:25(sha256)
      640    0.003    0.000    0.012    0.000 /home/hugo/BDT/dumbobft/core/consistentbroadcast.py:11(hash)
     8946    0.008    0.000    0.012    0.000 <string>:12(__new__)
     1185    0.005    0.000    0.012    0.000 /usr/lib/python3.6/base64.py:524(encodebytes)
     1507    0.007    0.000    0.011    0.000 {method 'join' of 'bytes' objects}
     1342    0.011    0.000    0.011    0.000 {built-in method _functools.reduce}
      130    0.001    0.000    0.011    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:53(xor)
      400    0.002    0.000    0.010    0.000 /usr/lib/python3.6/base64.py:548(decodestring)
   160/10    0.005    0.000    0.010    0.001 /home/hugo/BDT/dumbobft/core/dumbocommonsubset.py:33(wait_for_prbc_to_continue)
     5535    0.010    0.000    0.010    0.000 {built-in method _libsecp256k1.secp256k1_ec_pubkey_serialize}
     1585    0.009    0.000    0.009    0.000 /usr/lib/python3.6/base64.py:508(_input_type_check)
        2    0.001    0.001    0.009    0.004 /usr/lib/python3.6/multiprocessing/process.py:95(start)
    17892    0.009    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:286(pending)
    11533    0.009    0.000    0.009    0.000 {built-in method math.ceil}
      160    0.005    0.000    0.009    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:40(decode)
    25648    0.008    0.000    0.008    0.000 /usr/lib/python3.6/multiprocessing/connection.py:134(_check_closed)
    48890    0.008    0.000    0.008    0.000 {built-in method builtins.len}
     7756    0.008    0.000    0.008    0.000 {built-in method _struct.unpack}
       22    0.008    0.000    0.008    0.000 {built-in method builtins.print}
     2560    0.002    0.000    0.008    0.000 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:141(predicate_pt)
       10    0.000    0.000    0.007    0.001 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:177(wait_for_input)
        2    0.000    0.000    0.007    0.004 /usr/lib/python3.6/multiprocessing/context.py:221(_Popen)
    28027    0.007    0.000    0.007    0.000 {built-in method time.monotonic}
      780    0.007    0.000    0.007    0.000 {built-in method _pickle.dumps}
        2    0.000    0.000    0.007    0.004 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
     1585    0.007    0.000    0.007    0.000 {built-in method _warnings.warn}
     7756    0.007    0.000    0.007    0.000 /usr/lib/python3.6/multiprocessing/connection.py:913(<listcomp>)
        2    0.000    0.000    0.007    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
     8946    0.005    0.000    0.006    0.000 /usr/lib/python3.6/multiprocessing/connection.py:168(fileno)
     2040    0.006    0.000    0.006    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:356(vacs_predicate)
     8946    0.004    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:342(__enter__)
        2    0.000    0.000    0.006    0.003 /home/hugo/BDT/crypto/threshsig/boldyreva.py:140(combine_shares)
        2    0.006    0.003    0.006    0.003 /home/hugo/BDT/crypto/threshsig/boldyreva.py:147(<listcomp>)
       10    0.006    0.001    0.006    0.001 /home/hugo/BDT/dumbobft/core/dumbocommonsubset.py:44(<listcomp>)
      405    0.000    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:100(serialize)
        2    0.001    0.000    0.006    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
    22699    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
    15512    0.006    0.000    0.006    0.000 {method 'write' of '_io.BytesIO' objects}
      405    0.006    0.000    0.006    0.000 {built-in method charm.core.math.pairing.serialize}
      120    0.000    0.000    0.006    0.000 /usr/lib/python3.6/json/__init__.py:302(loads)
     3925    0.004    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/gevent/_config.py:54(getter)
      400    0.001    0.000    0.006    0.000 /usr/lib/python3.6/base64.py:543(decodebytes)
    16709    0.005    0.000    0.005    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      120    0.000    0.000    0.005    0.000 /usr/lib/python3.6/json/decoder.py:334(decode)
     7756    0.005    0.000    0.005    0.000 /usr/lib/python3.6/selectors.py:275(_key_from_fd)
     8946    0.005    0.000    0.005    0.000 {built-in method greenlet._greenlet.getcurrent}
     2695    0.004    0.000    0.005    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:81(ceil)
    16702    0.005    0.000    0.005    0.000 /usr/lib/python3.6/multiprocessing/connection.py:138(_check_readable)
      320    0.003    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/ecdsa.py:11(cdata_to_der)
       51    0.000    0.000    0.005    0.000 /home/hugo/BDT/crypto/threshsig/boldyreva.py:120(hash_message)
      120    0.005    0.000    0.005    0.000 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
   160/10    0.010    0.000    0.005    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:341(wait_for_prbc_output)
     9510    0.005    0.000    0.005    0.000 /usr/lib/python3.6/enum.py:599(value)
       45    0.000    0.000    0.005    0.000 /usr/lib/python3.6/logging/__init__.py:1298(info)
     8989    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x9d22c0}
      166    0.001    0.000    0.004    0.000 /usr/lib/python3/dist-packages/Crypto/Hash/SHA256.py:77(new)
   161/10    0.011    0.000    0.004    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:14(provablereliablebroadcast)
