         1054981 function calls (1053683 primitive calls) in 11.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9001/8984    0.041    0.000  153.743    0.017 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:51(<lambda>)
8994/8984    0.028    0.000   78.295    0.009 run_socket_node.py:121(<lambda>)
8993/8984    0.077    0.000   34.940    0.004 /usr/lib/python3.6/multiprocessing/queues.py:91(get)
     8984    1.895    0.000   15.183    0.002 /usr/lib/python3.6/selectors.py:365(select)
8993/8984    0.026    0.000    9.445    0.001 /usr/lib/python3.6/multiprocessing/connection.py:253(poll)
        1    0.000    0.000    9.348    9.348 /home/hugo/BDT/dumbobft/core/dumbo.py:149(_recv_loop)
8988/8984    0.030    0.000    6.411    0.001 /usr/lib/python3.6/multiprocessing/connection.py:413(_poll)
8985/8984    0.073    0.000    6.374    0.001 /usr/lib/python3.6/multiprocessing/connection.py:897(wait)
    19/10    0.002    0.000    2.316    0.232 /home/hugo/BDT/dumbobft/core/dumbo.py:253(_run_round)
    11/10    0.003    0.000    2.315    0.232 /home/hugo/BDT/dumbobft/core/dumbo.py:47(broadcast_receiver_loop)
    12/10    0.004    0.000    2.303    0.230 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:47(honeybadger_block)
      120    0.003    0.000    2.229    0.019 /home/hugo/BDT/crypto/threshenc/tpke.py:152(combine_shares)
     1540    2.171    0.001    2.171    0.001 {built-in method charm.core.math.pairing.pair}
      600    0.003    0.000    1.362    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:145(verify_share)
     8983    0.705    0.000    1.338    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:280(poll)
     1233    0.001    0.000    1.233    0.001 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:122(deserialize)
     1233    1.232    0.001    1.232    0.001 {built-in method charm.core.math.pairing.deserialize}
        1    0.000    0.000    1.132    1.132 run_socket_node.py:21(instantiate_bft_node)
        1    0.000    0.000    1.132    1.132 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:46(__init__)
        1    0.000    0.000    1.131    1.131 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:14(load_key)
       23    0.000    0.000    1.130    0.049 {built-in method _pickle.load}
       68    0.000    0.000    1.126    0.017 /home/hugo/BDT/crypto/threshsig/boldyreva.py:52(deserialize2)
      162    1.013    0.006    1.023    0.006 /usr/local/lib/python3.6/dist-packages/gevent/hub.py:129(sleep)
      120    0.211    0.002    0.928    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:196(decrypt_share)
      120    0.818    0.007    0.833    0.007 /home/hugo/BDT/crypto/threshenc/tpke.py:166(<listcomp>)
      120    0.021    0.000    0.717    0.006 /home/hugo/BDT/crypto/threshenc/tpke.py:138(verify_ciphertext)
     5538    0.014    0.000    0.603    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:18(ecdsa_vrfy)
        2    0.000    0.000    0.587    0.294 /home/hugo/BDT/crypto/threshsig/boldyreva.py:98(__setstate__)
        2    0.000    0.000    0.540    0.270 /home/hugo/BDT/crypto/threshsig/boldyreva.py:177(__setstate__)
     5538    0.023    0.000    0.523    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:95(verify_signature)
       48    0.001    0.000    0.504    0.011 /home/hugo/BDT/crypto/threshsig/boldyreva.py:128(verify_share)
      181    0.013    0.000    0.444    0.002 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:96(hash)
      130    0.001    0.000    0.443    0.003 /home/hugo/BDT/crypto/threshenc/tpke.py:77(hashH)
      181    0.430    0.002    0.430    0.002 {built-in method charm.core.math.pairing.H}
     7756    0.021    0.000    0.419    0.000 /usr/lib/python3.6/multiprocessing/connection.py:208(recv_bytes)
