         1074306 function calls (1073008 primitive calls) in 11.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.061    0.000    0.083    0.001 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:138(vaba_predicate)
     8929    0.031    0.000    0.083    0.000 /usr/lib/python3.6/selectors.py:233(register)
     2525    0.020    0.000    0.082    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:114(merkleVerify)
       10    0.033    0.003    0.080    0.008 /home/hugo/BDT/crypto/threshenc/tpke.py:120(encrypt)
    10783    0.078    0.000    0.078    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
    17895    0.033    0.000    0.071    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:72(hash)
       50    0.000    0.000    0.066    0.001 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:103(<listcomp>)
      800    0.001    0.000    0.066    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:19(tpke_deserialize)
     8929    0.025    0.000    0.066    0.000 /usr/lib/python3.6/selectors.py:346(__init__)
      240    0.002    0.000    0.058    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:38(deserialize_UVW)
     8929    0.056    0.000    0.057    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:261(_get_started_watchers)
      160    0.001    0.000    0.054    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:112(decode_output)
     5549    0.054    0.000    0.054    0.000 {built-in method _libsecp256k1.secp256k1_ec_pubkey_parse}
     7996    0.048    0.000    0.048    0.000 {built-in method _pickle.loads}
        2    0.000    0.000    0.048    0.024 /home/hugo/BDT/honeybadgerbft/core/commoncoin.py:96(getCoin)
     7756    0.040    0.000    0.042    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:210(add_event)
      320    0.001    0.000    0.042    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:14(ecdsa_sign)
     5533    0.024    0.000    0.041    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/keys.py:371(format)
     8929    0.017    0.000    0.040    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:243(register)
     8929    0.023    0.000    0.039    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:220(start)
      320    0.004    0.000    0.038    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/keys.py:35(sign)
     8929    0.008    0.000    0.037    0.000 /usr/lib/python3.6/selectors.py:214(_fileobj_lookup)
     8929    0.036    0.000    0.036    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:200(__init__)
    30705    0.035    0.000    0.035    0.000 {built-in method _hashlib.openssl_sha256}
     5853    0.020    0.000    0.030    0.000 /home/hugo/BDT/crypto/ecdsa/ecdsa.py:5(hash)
     8929    0.016    0.000    0.029    0.000 /usr/lib/python3.6/selectors.py:20(_fileobj_to_fd)
     8929    0.029    0.000    0.029    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:206(__init__)
   160/10    0.010    0.000    0.029    0.003 /home/hugo/BDT/dumbobft/core/validatedagreement.py:254(wait_for_commit_to_continue)
   320/10    0.045    0.000    0.028    0.003 /home/hugo/BDT/dumbobft/core/consistentbroadcast.py:14(consistentbroadcast)
      274    0.001    0.000    0.027    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:47(deserialize2)
      120    0.002    0.000    0.027    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:272(decrypt)
    30507    0.027    0.000    0.027    0.000 {method 'digest' of '_hashlib.HASH' objects}
      170    0.003    0.000    0.026    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:13(encode)
      320    0.026    0.000    0.026    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_sign}
      170    0.000    0.000    0.025    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:160(commit_send)
       10    0.003    0.000    0.025    0.003 /home/hugo/BDT/dumbobft/core/dumbocommonsubset.py:7(dumbocommonsubset)
     8928    0.008    0.000    0.025    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:350(__exit__)
      170    0.000    0.000    0.024    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:137(cbc_send)
      160    0.000    0.000    0.024    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:80(broadcast)
     8929    0.021    0.000    0.024    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:66(get_fileno)
        6    0.023    0.004    0.023    0.004 {method 'initPP' of 'pairing.Element' objects}
   160/10    0.010    0.000    0.023    0.002 /home/hugo/BDT/dumbobft/core/validatedagreement.py:216(wait_for_cbc_to_continue)
     8928    0.008    0.000    0.022    0.000 /usr/lib/python3.6/selectors.py:201(__exit__)
       10    0.003    0.000    0.022    0.002 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:45(validatedcommonsubset)
      170    0.003    0.000    0.022    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:84(merkleTree)
      120    0.000    0.000    0.022    0.000 /usr/lib/python3/dist-packages/Crypto/Cipher/blockalgo.py:246(decrypt)
        2    0.000    0.000    0.022    0.011 /home/hugo/BDT/crypto/threshsig/boldyreva.py:135(verify_signature)
      120    0.021    0.000    0.021    0.000 {method 'decrypt' of '_AES' objects}
     8929    0.021    0.000    0.021    0.000 /usr/local/lib/python3.6/dist-packages/gevent/select.py:235(__init__)
      170    0.020    0.000    0.020    0.000 {method 'encode' of '_fec.Encoder' objects}
     8929    0.012    0.000    0.020    0.000 /usr/lib/python3.6/selectors.py:208(__init__)
       10    0.001    0.000    0.019    0.002 /home/hugo/BDT/dumbobft/core/validatedagreement.py:63(validatedagreement)
    23109    0.018    0.000    0.018    0.000 {method 'new' of '_cffi_backend.FFI' objects}
    17858    0.018    0.000    0.018    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:286(pending)
     8928    0.016    0.000    0.016    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:303(close)
    53471    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
     1185    0.003    0.000    0.016    0.000 /usr/lib/python3.6/base64.py:534(encodestring)
      600    0.007    0.000    0.016    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:106(lagrange)
      640    0.003    0.000    0.016    0.000 /home/hugo/BDT/dumbobft/core/consistentbroadcast.py:11(hash)
    11683    0.015    0.000    0.015    0.000 /usr/lib/python3.6/enum.py:337(__members__)
     8928    0.012    0.000    0.014    0.000 /usr/lib/python3.6/selectors.py:268(close)
     1847    0.012    0.000    0.014    0.000 /usr/lib/python3.6/threading.py:254(_is_owned)
     8929    0.009    0.000    0.014    0.000 <string>:12(__new__)
     8929    0.005    0.000    0.014    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:342(__enter__)
      130    0.001    0.000    0.013    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:72(hashG)
     9512    0.008    0.000    0.013    0.000 /usr/lib/python3.6/types.py:135(__get__)
     5853    0.004    0.000    0.013    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/utils.py:25(sha256)
       10    0.000    0.000    0.013    0.001 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:177(wait_for_input)
     1871    0.012    0.000    0.012    0.000 {method 'acquire' of '_thread.lock' objects}
      400    0.002    0.000    0.012    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:30(serialize)
     1507    0.007    0.000    0.011    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/multiprocessing/queues.py:155(_start_thread)
     1342    0.011    0.000    0.011    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/threading.py:828(start)
      130    0.001    0.000    0.011    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:53(xor)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/threading.py:533(wait)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3.6/threading.py:263(wait)
    25614    0.010    0.000    0.010    0.000 /usr/lib/python3.6/multiprocessing/connection.py:134(_check_closed)
     2011    0.010    0.000    0.010    0.000 <string>:35(_asdict)
     1847    0.008    0.000    0.009    0.000 /usr/lib/python3.6/threading.py:242(__exit__)
     8929    0.006    0.000    0.009    0.000 /usr/lib/python3.6/multiprocessing/connection.py:168(fileno)
     1185    0.005    0.000    0.009    0.000 /usr/lib/python3.6/base64.py:524(encodebytes)
      160    0.005    0.000    0.009    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:40(decode)
       10    0.009    0.001    0.009    0.001 /home/hugo/BDT/dumbobft/core/dumbocommonsubset.py:44(<listcomp>)
    48886    0.008    0.000    0.008    0.000 {built-in method builtins.len}
     8929    0.008    0.000    0.008    0.000 /usr/lib/python3.6/selectors.py:62(__init__)
     7756    0.008    0.000    0.008    0.000 {built-in method _struct.unpack}
    11529    0.008    0.000    0.008    0.000 {built-in method math.ceil}
       10    0.000    0.000    0.008    0.001 /home/hugo/BDT/crypto/threshenc/tpke.py:263(encrypt)
      400    0.003    0.000    0.007    0.000 /usr/lib/python3.6/base64.py:548(decodestring)
      120    0.000    0.000    0.007    0.000 /usr/lib/python3.6/json/__init__.py:302(loads)
     5533    0.007    0.000    0.007    0.000 {built-in method _libsecp256k1.secp256k1_ec_pubkey_serialize}
       45    0.000    0.000    0.007    0.000 /usr/lib/python3.6/logging/__init__.py:1298(info)
      320    0.003    0.000    0.007    0.000 /usr/local/lib/python3.6/dist-packages/coincurve/ecdsa.py:11(cdata_to_der)
       45    0.000    0.000    0.007    0.000 /usr/lib/python3.6/logging/__init__.py:1421(_log)
      120    0.000    0.000    0.007    0.000 /usr/lib/python3.6/json/decoder.py:334(decode)
    15512    0.007    0.000    0.007    0.000 {method 'write' of '_io.BytesIO' objects}
     2040    0.005    0.000    0.006    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:356(vacs_predicate)
     2560    0.001    0.000    0.006    0.000 /home/hugo/BDT/dumbobft/core/validatedcommonsubset_.py:141(predicate_pt)
      780    0.006    0.000    0.006    0.000 {built-in method _pickle.dumps}
     7756    0.006    0.000    0.006    0.000 /usr/lib/python3.6/multiprocessing/connection.py:913(<listcomp>)
     1585    0.006    0.000    0.006    0.000 {built-in method _warnings.warn}
   160/10    0.005    0.000    0.006    0.001 /home/hugo/BDT/dumbobft/core/dumbocommonsubset.py:33(wait_for_prbc_to_continue)
      120    0.006    0.000    0.006    0.000 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
     7756    0.006    0.000    0.006    0.000 /usr/lib/python3.6/selectors.py:275(_key_from_fd)
   160/10    0.009    0.000    0.006    0.001 /home/hugo/BDT/dumbobft/core/dumbo.py:341(wait_for_prbc_output)
        2    0.000    0.000    0.006    0.003 /home/hugo/BDT/crypto/threshsig/boldyreva.py:140(combine_shares)
        2    0.005    0.003    0.006    0.003 /home/hugo/BDT/crypto/threshsig/boldyreva.py:147(<listcomp>)
     8929    0.006    0.000    0.006    0.000 {built-in method greenlet._greenlet.getcurrent}
    22700    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
      166    0.001    0.000    0.005    0.000 /usr/lib/python3/dist-packages/Crypto/Hash/SHA256.py:77(new)
    16692    0.005    0.000    0.005    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
   161/10    0.009    0.000    0.005    0.001 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:14(provablereliablebroadcast)
    27959    0.005    0.000    0.005    0.000 {built-in method time.monotonic}
       10    0.005    0.000    0.005    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:203(wait_for_input)
     2695    0.003    0.000    0.005    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:81(ceil)
     9512    0.005    0.000    0.005    0.000 /usr/lib/python3.6/enum.py:599(value)
     3925    0.003    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/gevent/_config.py:54(getter)
     4290    0.004    0.000    0.004    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:56(<genexpr>)
    16685    0.004    0.000    0.004    0.000 /usr/lib/python3.6/multiprocessing/connection.py:138(_check_readable)
       45    0.000    0.000    0.004    0.000 /usr/lib/python3.6/logging/__init__.py:1446(handle)
     8972    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x9d22c0}
       45    0.000    0.000    0.004    0.000 /usr/lib/python3.6/logging/__init__.py:1500(callHandlers)
       45    0.000    0.000    0.004    0.000 /usr/lib/python3.6/logging/__init__.py:852(handle)
       51    0.000    0.000    0.004    0.000 /home/hugo/BDT/crypto/threshsig/boldyreva.py:120(hash_message)
       45    0.000    0.000    0.004    0.000 /usr/lib/python3.6/logging/__init__.py:1063(emit)
      332    0.001    0.000    0.004    0.000 /usr/lib/python3/dist-packages/Crypto/Hash/SHA256.py:71(__init__)
       45    0.000    0.000    0.004    0.000 /usr/lib/python3.6/logging/__init__.py:982(emit)
    26066    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
       22    0.004    0.000    0.004    0.000 {built-in method builtins.print}
      332    0.001    0.000    0.003    0.000 /usr/lib/python3/dist-packages/Crypto/Hash/hashalgo.py:34(__init__)
     1365    0.002    0.000    0.003    0.000 {built-in method builtins.sum}
     5533    0.003    0.000    0.003    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_signature_parse_der}
       10    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:199(read)
       10    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:175(read)
    15512    0.003    0.000    0.003    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       10    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:119(read)
     1847    0.003    0.000    0.003    0.000 /usr/lib/python3.6/threading.py:239(__enter__)
    19073    0.003    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/gevent/timeout.py:56(stop)
     2695    0.003    0.000    0.003    0.000 {built-in method math.log}
       48    0.000    0.000    0.003    0.000 /home/hugo/BDT/crypto/threshsig/boldyreva.py:30(g12deserialize)
      320    0.003    0.000    0.003    0.000 {built-in method _libsecp256k1.secp256k1_ecdsa_signature_serialize_der}
      141    0.001    0.000    0.003    0.000 /usr/lib/python3/dist-packages/Crypto/Cipher/AES.py:61(new)
        2    0.000    0.000    0.003    0.002 /usr/lib/python3.6/multiprocessing/process.py:95(start)
       45    0.000    0.000    0.003    0.000 /usr/lib/python3.6/logging/__init__.py:829(format)
      405    0.000    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/Charm_Crypto-0.50-py3.6-linux-x86_64.egg/charm/toolbox/pairinggroup.py:100(serialize)
     1585    0.003    0.000    0.003    0.000 /usr/lib/python3.6/base64.py:508(_input_type_check)
       45    0.000    0.000    0.003    0.000 /usr/lib/python3.6/logging/__init__.py:564(format)
        2    0.000    0.000    0.003    0.001 /usr/lib/python3.6/multiprocessing/context.py:221(_Popen)
        2    0.000    0.000    0.003    0.001 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
      160    0.002    0.000    0.003    0.000 /home/hugo/BDT/dumbobft/core/dumbo.py:294(_setup_prbc)
        2    0.000    0.000    0.003    0.001 /usr/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
     8928    0.003    0.000    0.003    0.000 {method 'clear' of 'dict' objects}
      141    0.001    0.000    0.003    0.000 /usr/lib/python3/dist-packages/Crypto/Cipher/AES.py:55(__init__)
        2    0.000    0.000    0.003    0.001 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
      405    0.002    0.000    0.002    0.000 {built-in method charm.core.math.pairing.serialize}
      160    0.002    0.000    0.002    0.000 {method 'decode' of '_fec.Decoder' objects}
        1    0.000    0.000    0.002    0.002 /home/hugo/BDT/myexperiements/sockettest/dumbo_node.py:58(prepare_bootstrap)
       45    0.000    0.000    0.002    0.000 /usr/lib/python3.6/logging/__init__.py:497(formatTime)
      400    0.001    0.000    0.002    0.000 /usr/lib/python3.6/base64.py:543(decodebytes)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.6/dist-packages/gevent/os.py:464(fork)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.6/dist-packages/gevent/os.py:406(fork_and_watch)
      170    0.002    0.000    0.002    0.000 /home/hugo/BDT/honeybadgerbft/core/reliablebroadcast.py:35(<listcomp>)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:68(collect)
    14/13    0.001    0.000    0.002    0.000 /home/hugo/BDT/dumbobft/core/baisedbinaryagreement.py:26(wait_for_conf_values)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.6/dist-packages/gevent/os.py:173(fork_gevent)
       30    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/Crypto/Cipher/blockalgo.py:187(encrypt)
        2    0.002    0.001    0.002    0.001 {built-in method posix.fork}
       45    0.002    0.000    0.002    0.000 {built-in method time.localtime}
       30    0.002    0.000    0.002    0.000 {method 'encrypt' of '_AES' objects}
       10    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/Crypto/Random/__init__.py:31(new)
      141    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/Crypto/Cipher/blockalgo.py:136(__init__)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:220(new)
        1    0.000    0.000    0.002    0.002 /home/hugo/BDT/crypto/threshenc/tpke.py:188(__setstate__)
      120    0.000    0.000    0.002    0.000 /home/hugo/BDT/dumbobft/core/validators.py:4(hash)
    15886    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:210(_get_singleton)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:157(__init__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/Crypto/Random/_UserFriendlyRNG.py:83(__init__)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.6/multiprocessing/context.py:99(Queue)
       45    0.000    0.000    0.002    0.000 /usr/lib/python3.6/logging/__init__.py:1406(makeRecord)
      160    0.001    0.000    0.001    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.001    0.001 /home/hugo/BDT/crypto/threshenc/tpke.py:99(__setstate__)
       14    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/Crypto/Random/OSRNG/rng_base.py:66(read)
     8929    0.001    0.000    0.001    0.000 /usr/lib/python3.6/selectors.py:198(__enter__)
       45    0.001    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:251(__init__)
       14    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/Crypto/Random/OSRNG/posix.py:57(_read)
     3925    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/gevent/_config.py:145(get)
       16    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
       10    0.000    0.000    0.001    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:96(<listcomp>)
      166    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/Crypto/Hash/SHA256.py:74(new)
      923    0.001    0.000    0.001    0.000 {method 'issubset' of 'set' objects}
      610    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      160    0.000    0.000    0.001    0.000 /home/hugo/BDT/honeybadgerbft/core/honeybadger_block.py:12(tpke_serialize)
      3/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:966(_find_and_load)
     1847    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      3/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
       10    0.000    0.000    0.001    0.000 /usr/lib/python3.6/json/__init__.py:183(dumps)
      160    0.001    0.000    0.001    0.000 /home/hugo/BDT/dumbobft/core/provablereliablebroadcast_.py:105(<lambda>)
      224    0.001    0.000    0.001    0.000 /home/hugo/BDT/dumbobft/core/baisedbinaryagreement.py:10(handle_conf_messages)
       10    0.000    0.000    0.001    0.000 /usr/lib/python3.6/json/encoder.py:182(encode)
      600    0.001    0.000    0.001    0.000 /home/hugo/BDT/crypto/threshenc/tpke.py:116(<listcomp>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/Crypto/Random/Fortuna/FortunaAccumulator.py:117(__init__)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:651(_load_unlocked)
     2367    0.001    0.000    0.001    0.000 {built-in method binascii.b2a_base64}
       10    0.001    0.000    0.001    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:231(<listcomp>)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:672(exec_module)
       10    0.001    0.000    0.001    0.000 /usr/lib/python3.6/json/encoder.py:204(iterencode)
       10    0.001    0.000    0.001    0.000 /home/hugo/BDT/dumbobft/core/validatedagreement.py:113(<listcomp>)
       45    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:971(flush)
